level,scene_id,query_id,request,seed,error_type,ground_truth,prediction,missing,extra,request_constraints,semantic_scene_joint_exact,logical_rule_scene_exact,aggregation_exact,raw_response
L5,b0_l5_random_45_60_07,Q1_5_COLOR_ONLY_PRESENT,Bring me something blue.,28101,canonical_color_disagreement,"[62, 73, 88]","[21, 62, 73, 88]",[],[21],"{""object_type"": null, ""color"": ""blue""}",False,True,True,"{
  ""request_constraints"": {
    ""object_type"": null,
    ""color"": ""blue""
  },
  ""instances"": [
    {
      ""id"": 21,
      ""object_type"": ""bottle"",
      ""color"": ""blue"",
      ""object_type_matches"": null,
      ""color_matches"": true,
      ""matches_request"": true
    },
    {
      ""id"": 40,
      ""object_type"": ""bottle"",
      ""color"": ""green"",
      ""object_type_matches"": null,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 49,
      ""object_type"": ""bottle"",
      ""color"": ""purple"",
      ""object_type_matches"": null,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 62,
      ""object_type"": ""bottle"",
      ""color"": ""blue"",
      ""object_type_matches"": null,
      ""color_matches"": true,
      ""matches_request"": true
    },
    {
      ""id"": 70,
      ""object_type"": ""cup"",
      ""color"": ""purple"",
      ""object_type_matches"": null,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 73,
      ""object_type"": ""can"",
      ""color"": ""blue"",
      ""object_type_matches"": null,
      ""color_matches"": true,
      ""matches_request"": true
    },
    {
      ""id"": 77,
      ""object_type"": ""cup"",
      ""color"": ""purple"",
      ""object_type_matches"": null,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 88,
      ""object_type"": ""cup"",
      ""color"": ""blue"",
      ""object_type_matches"": null,
      ""color_matches"": true,
      ""matches_request"": true
    },
    {
      ""id"": 95,
      ""object_type"": ""can"",
      ""color"": ""brown"",
      ""object_type_matches"": null,
      ""color_matches"": false,
      ""matches_request"": false
    }
  ],
  ""matching_ids"": [21, 62, 73, 88]
}"
L5,b0_l5_random_45_60_09,Q1_5_COLOR_ONLY_PRESENT,Bring me something yellow.,28101,canonical_color_disagreement,"[11, 13, 67]","[11, 13]",[67],[],"{""object_type"": null, ""color"": ""yellow""}",False,True,True,"{
  ""request_constraints"": {
    ""object_type"": null,
    ""color"": ""yellow""
  },
  ""instances"": [
    {
      ""id"": 11,
      ""object_type"": ""bottle"",
      ""color"": ""yellow"",
      ""object_type_matches"": null,
      ""color_matches"": true,
      ""matches_request"": true
    },
    {
      ""id"": 13,
      ""object_type"": ""cup"",
      ""color"": ""yellow"",
      ""object_type_matches"": null,
      ""color_matches"": true,
      ""matches_request"": true
    },
    {
      ""id"": 15,
      ""object_type"": ""cup"",
      ""color"": ""black"",
      ""object_type_matches"": null,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 23,
      ""object_type"": ""cup"",
      ""color"": ""white"",
      ""object_type_matches"": null,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 38,
      ""object_type"": ""bottle"",
      ""color"": ""blue"",
      ""object_type_matches"": null,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 44,
      ""object_type"": ""cup"",
      ""color"": ""brown"",
      ""object_type_matches"": null,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 52,
      ""object_type"": ""bottle"",
      ""color"": ""blue"",
      ""object_type_matches"": null,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 67,
      ""object_type"": ""can"",
      ""color"": ""brown"",
      ""object_type_matches"": null,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 69,
      ""object_type"": ""can"",
      ""color"": ""brown"",
      ""object_type_matches"": null,
      ""color_matches"": false,
      ""matches_request"": false
    }
  ],
  ""matching_ids"": [11, 13]
}"
L3,b0_l3_random_5objects_08,Q1_5_COLOR_ONLY_PRESENT,Bring me something blue.,28102,canonical_color_disagreement,"[46, 80]","[36, 46, 80]",[],[36],"{""object_type"": null, ""color"": ""blue""}",False,True,True,"{
  ""request_constraints"": {
    ""object_type"": null,
    ""color"": ""blue""
  },
  ""instances"": [
    {
      ""id"": 23,
      ""object_type"": ""cup"",
      ""color"": ""purple"",
      ""object_type_matches"": null,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 36,
      ""object_type"": ""bottle"",
      ""color"": ""blue"",
      ""object_type_matches"": null,
      ""color_matches"": true,
      ""matches_request"": true
    },
    {
      ""id"": 46,
      ""object_type"": ""can"",
      ""color"": ""blue"",
      ""object_type_matches"": null,
      ""color_matches"": true,
      ""matches_request"": true
    },
    {
      ""id"": 77,
      ""object_type"": ""cup"",
      ""color"": ""purple"",
      ""object_type_matches"": null,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 80,
      ""object_type"": ""can"",
      ""color"": ""blue"",
      ""object_type_matches"": null,
      ""color_matches"": true,
      ""matches_request"": true
    }
  ],
  ""matching_ids"": [36, 46, 80]
}"
L3,b0_l3_random_5objects_09,Q1_5_COLOR_ONLY_PRESENT,Bring me something blue.,28102,canonical_color_disagreement,"[25, 77]","[25, 45, 77]",[],[45],"{""object_type"": null, ""color"": ""blue""}",False,True,True,"{
  ""request_constraints"": {
    ""object_type"": null,
    ""color"": ""blue""
  },
  ""instances"": [
    {
      ""id"": 25,
      ""object_type"": ""can"",
      ""color"": ""blue"",
      ""object_type_matches"": null,
      ""color_matches"": true,
      ""matches_request"": true
    },
    {
      ""id"": 29,
      ""object_type"": ""cup"",
      ""color"": ""yellow"",
      ""object_type_matches"": null,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 45,
      ""object_type"": ""bottle"",
      ""color"": ""blue"",
      ""object_type_matches"": null,
      ""color_matches"": true,
      ""matches_request"": true
    },
    {
      ""id"": 58,
      ""object_type"": ""cup"",
      ""color"": ""yellow"",
      ""object_type_matches"": null,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 77,
      ""object_type"": ""can"",
      ""color"": ""blue"",
      ""object_type_matches"": null,
      ""color_matches"": true,
      ""matches_request"": true
    }
  ],
  ""matching_ids"": [25, 45, 77]
}"
L4,b0_l4_random_30_45_01,Q1_5_COLOR_ONLY_PRESENT,Bring me something yellow.,28102,canonical_color_disagreement,"[41, 53, 93]",[53],"[41, 93]",[],"{""object_type"": null, ""color"": ""yellow""}",False,True,True,"{
  ""request_constraints"": {
    ""object_type"": null,
    ""color"": ""yellow""
  },
  ""instances"": [
    {
      ""id"": 14,
      ""object_type"": ""can"",
      ""color"": ""blue"",
      ""object_type_matches"": null,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 18,
      ""object_type"": ""cup"",
      ""color"": ""white"",
      ""object_type_matches"": null,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 41,
      ""object_type"": ""can"",
      ""color"": ""brown"",
      ""object_type_matches"": null,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 50,
      ""object_type"": ""cup"",
      ""color"": ""purple"",
      ""object_type_matches"": null,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 53,
      ""object_type"": ""cup"",
      ""color"": ""yellow"",
      ""object_type_matches"": null,
      ""color_matches"": true,
      ""matches_request"": true
    },
    {
      ""id"": 64,
      ""object_type"": ""bottle"",
      ""color"": ""purple"",
      ""object_type_matches"": null,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 66,
      ""object_type"": ""cup"",
      ""color"": ""brown"",
      ""object_type_matches"": null,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 93,
      ""object_type"": ""bottle"",
      ""color"": ""green"",
      ""object_type_matches"": null,
      ""color_matches"": false,
      ""matches_request"": false
    }
  ],
  ""matching_ids"": [
    53
  ]
}"
L4,b0_l4_random_30_45_04,Q1_5_COLOR_ONLY_PRESENT,Bring me something purple.,28102,canonical_color_disagreement,"[85, 91]",[91],[85],[],"{""object_type"": null, ""color"": ""purple""}",False,True,True,"{
  ""request_constraints"": {
    ""object_type"": null,
    ""color"": ""purple""
  },
  ""instances"": [
    {
      ""id"": 11,
      ""object_type"": ""mug"",
      ""color"": ""brown"",
      ""object_type_matches"": null,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 44,
      ""object_type"": ""cup"",
      ""color"": ""blue"",
      ""object_type_matches"": null,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 61,
      ""object_type"": ""cup"",
      ""color"": ""white"",
      ""object_type_matches"": null,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 78,
      ""object_type"": ""mug"",
      ""color"": ""black"",
      ""object_type_matches"": null,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 85,
      ""object_type"": ""bottle"",
      ""color"": ""blue"",
      ""object_type_matches"": null,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 91,
      ""object_type"": ""cup"",
      ""color"": ""purple"",
      ""object_type_matches"": null,
      ""color_matches"": true,
      ""matches_request"": true
    },
    {
      ""id"": 96,
      ""object_type"": ""can"",
      ""color"": ""brown"",
      ""object_type_matches"": null,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 98,
      ""object_type"": ""can"",
      ""color"": ""yellow"",
      ""object_type_matches"": null,
      ""color_matches"": false,
      ""matches_request"": false
    }
  ],
  ""matching_ids"": [91]
}"
L4,b0_l4_random_30_45_04,Q2_CATEGORY_COLOR_PRESENT,Bring me the purple bottle.,28102,canonical_color_disagreement,[85],[],[85],[],"{""object_type"": ""bottle"", ""color"": ""purple""}",False,True,True,"{
  ""request_constraints"": {
    ""object_type"": ""bottle"",
    ""color"": ""purple""
  },
  ""instances"": [
    {
      ""id"": 11,
      ""object_type"": ""cup"",
      ""color"": ""brown"",
      ""object_type_matches"": false,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 44,
      ""object_type"": ""cup"",
      ""color"": ""blue"",
      ""object_type_matches"": false,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 61,
      ""object_type"": ""cup"",
      ""color"": ""white"",
      ""object_type_matches"": false,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 78,
      ""object_type"": ""cup"",
      ""color"": ""black"",
      ""object_type_matches"": false,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 85,
      ""object_type"": ""bottle"",
      ""color"": ""blue"",
      ""object_type_matches"": true,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 91,
      ""object_type"": ""cup"",
      ""color"": ""purple"",
      ""object_type_matches"": false,
      ""color_matches"": true,
      ""matches_request"": false
    },
    {
      ""id"": 96,
      ""object_type"": ""can"",
      ""color"": ""brown"",
      ""object_type_matches"": false,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 98,
      ""object_type"": ""can"",
      ""color"": ""yellow"",
      ""object_type_matches"": false,
      ""color_matches"": false,
      ""matches_request"": false
    }
  ],
  ""matching_ids"": []
}"
L4,b0_l4_random_30_45_09,Q1_5_COLOR_ONLY_PRESENT,Bring me something yellow.,28102,canonical_color_disagreement,"[31, 34]",[34],[31],[],"{""object_type"": null, ""color"": ""yellow""}",False,True,True,"{
  ""request_constraints"": {
    ""object_type"": null,
    ""color"": ""yellow""
  },
  ""instances"": [
    {
      ""id"": 29,
      ""object_type"": ""bottle"",
      ""color"": ""blue"",
      ""object_type_matches"": null,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 31,
      ""object_type"": ""bottle"",
      ""color"": ""green"",
      ""object_type_matches"": null,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 34,
      ""object_type"": ""can"",
      ""color"": ""yellow"",
      ""object_type_matches"": null,
      ""color_matches"": true,
      ""matches_request"": true
    },
    {
      ""id"": 41,
      ""object_type"": ""can"",
      ""color"": ""black"",
      ""object_type_matches"": null,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 61,
      ""object_type"": ""cup"",
      ""color"": ""purple"",
      ""object_type_matches"": null,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 92,
      ""object_type"": ""cup"",
      ""color"": ""purple"",
      ""object_type_matches"": null,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 95,
      ""object_type"": ""mug"",
      ""color"": ""brown"",
      ""object_type_matches"": null,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 99,
      ""object_type"": ""can"",
      ""color"": ""blue"",
      ""object_type_matches"": null,
      ""color_matches"": false,
      ""matches_request"": false
    }
  ],
  ""matching_ids"": [34]
}"
L4,b0_l4_random_30_45_10,Q1_5_COLOR_ONLY_PRESENT,Bring me something purple.,28102,canonical_color_disagreement,"[18, 58]",[18],[58],[],"{""object_type"": null, ""color"": ""purple""}",False,True,True,"{
  ""request_constraints"": {
    ""object_type"": null,
    ""color"": ""purple""
  },
  ""instances"": [
    {
      ""id"": 18,
      ""object_type"": ""cup"",
      ""color"": ""purple"",
      ""object_type_matches"": null,
      ""color_matches"": true,
      ""matches_request"": true
    },
    {
      ""id"": 26,
      ""object_type"": ""bottle"",
      ""color"": ""green"",
      ""object_type_matches"": null,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 32,
      ""object_type"": ""cup"",
      ""color"": ""yellow"",
      ""object_type_matches"": null,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 38,
      ""object_type"": ""cup"",
      ""color"": ""brown"",
      ""object_type_matches"": null,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 58,
      ""object_type"": ""bottle"",
      ""color"": ""blue"",
      ""object_type_matches"": null,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 61,
      ""object_type"": ""bottle"",
      ""color"": ""blue"",
      ""object_type_matches"": null,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 74,
      ""object_type"": ""cup"",
      ""color"": ""white"",
      ""object_type_matches"": null,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 97,
      ""object_type"": ""can"",
      ""color"": ""yellow"",
      ""object_type_matches"": null,
      ""color_matches"": false,
      ""matches_request"": false
    }
  ],
  ""matching_ids"": [18]
}"
L4,b0_l4_random_30_45_10,Q2_CATEGORY_COLOR_PRESENT,Bring me the purple bottle.,28102,canonical_color_disagreement,[58],[],[58],[],"{""object_type"": ""bottle"", ""color"": ""purple""}",False,True,True,"{
  ""request_constraints"": {
    ""object_type"": ""bottle"",
    ""color"": ""purple""
  },
  ""instances"": [
    {
      ""id"": 18,
      ""object_type"": ""cup"",
      ""color"": ""purple"",
      ""object_type_matches"": false,
      ""color_matches"": true,
      ""matches_request"": false
    },
    {
      ""id"": 26,
      ""object_type"": ""bottle"",
      ""color"": ""green"",
      ""object_type_matches"": true,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 32,
      ""object_type"": ""cup"",
      ""color"": ""yellow"",
      ""object_type_matches"": false,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 38,
      ""object_type"": ""cup"",
      ""color"": ""brown"",
      ""object_type_matches"": false,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 58,
      ""object_type"": ""bottle"",
      ""color"": ""blue"",
      ""object_type_matches"": true,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 61,
      ""object_type"": ""bottle"",
      ""color"": ""blue"",
      ""object_type_matches"": true,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 74,
      ""object_type"": ""cup"",
      ""color"": ""white"",
      ""object_type_matches"": false,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 97,
      ""object_type"": ""can"",
      ""color"": ""yellow"",
      ""object_type_matches"": false,
      ""color_matches"": false,
      ""matches_request"": false
    }
  ],
  ""matching_ids"": []
}"
L4,b0_l4_random_45_60_03,Q1_5_COLOR_ONLY_PRESENT,Bring me something blue.,28102,canonical_color_disagreement,"[69, 93]","[69, 71, 93]",[],[71],"{""object_type"": null, ""color"": ""blue""}",False,True,True,"{
  ""request_constraints"": {
    ""object_type"": null,
    ""color"": ""blue""
  },
  ""instances"": [
    {
      ""id"": 16,
      ""object_type"": ""bottle"",
      ""color"": ""green"",
      ""object_type_matches"": null,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 24,
      ""object_type"": ""cup"",
      ""color"": ""black"",
      ""object_type_matches"": null,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 33,
      ""object_type"": ""cup"",
      ""color"": ""purple"",
      ""object_type_matches"": null,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 69,
      ""object_type"": ""can"",
      ""color"": ""blue"",
      ""object_type_matches"": null,
      ""color_matches"": true,
      ""matches_request"": true
    },
    {
      ""id"": 71,
      ""object_type"": ""bottle"",
      ""color"": ""blue"",
      ""object_type_matches"": null,
      ""color_matches"": true,
      ""matches_request"": true
    },
    {
      ""id"": 84,
      ""object_type"": ""bottle"",
      ""color"": ""pink"",
      ""object_type_matches"": null,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 93,
      ""object_type"": ""bottle"",
      ""color"": ""blue"",
      ""object_type_matches"": null,
      ""color_matches"": true,
      ""matches_request"": true
    },
    {
      ""id"": 96,
      ""object_type"": ""cup"",
      ""color"": ""yellow"",
      ""object_type_matches"": null,
      ""color_matches"": false,
      ""matches_request"": false
    }
  ],
  ""matching_ids"": [69, 71, 93]
}"
L4,b0_l4_random_45_60_05,Q1_5_COLOR_ONLY_PRESENT,Bring me something purple.,28102,canonical_color_disagreement,"[66, 77]","[26, 77]",[66],[26],"{""object_type"": null, ""color"": ""purple""}",False,True,True,"{
  ""request_constraints"": {
    ""object_type"": null,
    ""color"": ""purple""
  },
  ""instances"": [
    {
      ""id"": 14,
      ""object_type"": ""cup"",
      ""color"": ""white"",
      ""object_type_matches"": null,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 26,
      ""object_type"": ""bottle"",
      ""color"": ""purple"",
      ""object_type_matches"": null,
      ""color_matches"": true,
      ""matches_request"": true
    },
    {
      ""id"": 32,
      ""object_type"": ""can"",
      ""color"": ""brown"",
      ""object_type_matches"": null,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 56,
      ""object_type"": ""cup"",
      ""color"": ""black"",
      ""object_type_matches"": null,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 66,
      ""object_type"": ""bottle"",
      ""color"": ""blue"",
      ""object_type_matches"": null,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 77,
      ""object_type"": ""cup"",
      ""color"": ""purple"",
      ""object_type_matches"": null,
      ""color_matches"": true,
      ""matches_request"": true
    },
    {
      ""id"": 83,
      ""object_type"": ""cup"",
      ""color"": ""brown"",
      ""object_type_matches"": null,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 95,
      ""object_type"": ""bottle"",
      ""color"": ""yellow"",
      ""object_type_matches"": null,
      ""color_matches"": false,
      ""matches_request"": false
    }
  ],
  ""matching_ids"": [26, 77]
}"
L4,b0_l4_random_45_60_05,Q2_CATEGORY_COLOR_PRESENT,Bring me the purple bottle.,28102,canonical_color_disagreement,[66],[26],[66],[26],"{""object_type"": ""bottle"", ""color"": ""purple""}",False,True,True,"{
  ""request_constraints"": {
    ""object_type"": ""bottle"",
    ""color"": ""purple""
  },
  ""instances"": [
    {
      ""id"": 14,
      ""object_type"": ""cup"",
      ""color"": ""white"",
      ""object_type_matches"": false,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 26,
      ""object_type"": ""bottle"",
      ""color"": ""purple"",
      ""object_type_matches"": true,
      ""color_matches"": true,
      ""matches_request"": true
    },
    {
      ""id"": 32,
      ""object_type"": ""can"",
      ""color"": ""brown"",
      ""object_type_matches"": false,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 56,
      ""object_type"": ""cup"",
      ""color"": ""black"",
      ""object_type_matches"": false,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 66,
      ""object_type"": ""bottle"",
      ""color"": ""blue"",
      ""object_type_matches"": true,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 77,
      ""object_type"": ""cup"",
      ""color"": ""purple"",
      ""object_type_matches"": false,
      ""color_matches"": true,
      ""matches_request"": false
    },
    {
      ""id"": 83,
      ""object_type"": ""cup"",
      ""color"": ""brown"",
      ""object_type_matches"": false,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 95,
      ""object_type"": ""bottle"",
      ""color"": ""yellow"",
      ""object_type_matches"": true,
      ""color_matches"": false,
      ""matches_request"": false
    }
  ],
  ""matching_ids"": [26]
}"
L4,b0_l4_random_45_60_07,Q1_5_COLOR_ONLY_PRESENT,Bring me something blue.,28102,canonical_color_disagreement,"[20, 65]","[10, 20, 55, 65]",[],"[10, 55]","{""object_type"": null, ""color"": ""blue""}",False,True,True,"{
  ""request_constraints"": {
    ""object_type"": null,
    ""color"": ""blue""
  },
  ""instances"": [
    {
      ""id"": 10,
      ""object_type"": ""bottle"",
      ""color"": ""blue"",
      ""object_type_matches"": null,
      ""color_matches"": true,
      ""matches_request"": true
    },
    {
      ""id"": 20,
      ""object_type"": ""bottle"",
      ""color"": ""blue"",
      ""object_type_matches"": null,
      ""color_matches"": true,
      ""matches_request"": true
    },
    {
      ""id"": 24,
      ""object_type"": ""can"",
      ""color"": ""brown"",
      ""object_type_matches"": null,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 40,
      ""object_type"": ""bottle"",
      ""color"": ""pink"",
      ""object_type_matches"": null,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 55,
      ""object_type"": ""bottle"",
      ""color"": ""blue"",
      ""object_type_matches"": null,
      ""color_matches"": true,
      ""matches_request"": true
    },
    {
      ""id"": 65,
      ""object_type"": ""can"",
      ""color"": ""blue"",
      ""object_type_matches"": null,
      ""color_matches"": true,
      ""matches_request"": true
    },
    {
      ""id"": 78,
      ""object_type"": ""mug"",
      ""color"": ""brown"",
      ""object_type_matches"": null,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 97,
      ""object_type"": ""can"",
      ""color"": ""yellow"",
      ""object_type_matches"": null,
      ""color_matches"": false,
      ""matches_request"": false
    }
  ],
  ""matching_ids"": [10, 20, 55, 65]
}"
L4,b0_l4_random_45_60_07,Q2_CATEGORY_COLOR_PRESENT,Bring me the blue bottle.,28102,canonical_color_disagreement,[20],"[10, 20]",[],[10],"{""object_type"": ""bottle"", ""color"": ""blue""}",False,True,True,"{
  ""request_constraints"": {
    ""object_type"": ""bottle"",
    ""color"": ""blue""
  },
  ""instances"": [
    {
      ""id"": 10,
      ""object_type"": ""bottle"",
      ""color"": ""blue"",
      ""object_type_matches"": true,
      ""color_matches"": true,
      ""matches_request"": true
    },
    {
      ""id"": 20,
      ""object_type"": ""bottle"",
      ""color"": ""blue"",
      ""object_type_matches"": true,
      ""color_matches"": true,
      ""matches_request"": true
    },
    {
      ""id"": 24,
      ""object_type"": ""can"",
      ""color"": ""brown"",
      ""object_type_matches"": false,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 40,
      ""object_type"": ""bottle"",
      ""color"": ""pink"",
      ""object_type_matches"": true,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 55,
      ""object_type"": ""bottle"",
      ""color"": ""green"",
      ""object_type_matches"": true,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 65,
      ""object_type"": ""can"",
      ""color"": ""blue"",
      ""object_type_matches"": false,
      ""color_matches"": true,
      ""matches_request"": false
    },
    {
      ""id"": 78,
      ""object_type"": ""cup"",
      ""color"": ""brown"",
      ""object_type_matches"": false,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 97,
      ""object_type"": ""can"",
      ""color"": ""yellow"",
      ""object_type_matches"": false,
      ""color_matches"": false,
      ""matches_request"": false
    }
  ],
  ""matching_ids"": [10, 20]
}"
L4,b0_l4_random_45_60_08,Q1_5_COLOR_ONLY_PRESENT,Bring me something blue.,28102,canonical_color_disagreement,"[49, 72, 78]","[49, 68, 72, 78]",[],[68],"{""object_type"": null, ""color"": ""blue""}",False,True,True,"{
  ""request_constraints"": {
    ""object_type"": null,
    ""color"": ""blue""
  },
  ""instances"": [
    {
      ""id"": 24,
      ""object_type"": ""can"",
      ""color"": ""brown"",
      ""object_type_matches"": null,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 35,
      ""object_type"": ""bottle"",
      ""color"": ""green"",
      ""object_type_matches"": null,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 46,
      ""object_type"": ""bottle"",
      ""color"": ""pink"",
      ""object_type_matches"": null,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 49,
      ""object_type"": ""bottle"",
      ""color"": ""blue"",
      ""object_type_matches"": null,
      ""color_matches"": true,
      ""matches_request"": true
    },
    {
      ""id"": 68,
      ""object_type"": ""bottle"",
      ""color"": ""blue"",
      ""object_type_matches"": null,
      ""color_matches"": true,
      ""matches_request"": true
    },
    {
      ""id"": 72,
      ""object_type"": ""can"",
      ""color"": ""blue"",
      ""object_type_matches"": null,
      ""color_matches"": true,
      ""matches_request"": true
    },
    {
      ""id"": 78,
      ""object_type"": ""cup"",
      ""color"": ""blue"",
      ""object_type_matches"": null,
      ""color_matches"": true,
      ""matches_request"": true
    },
    {
      ""id"": 87,
      ""object_type"": ""cup"",
      ""color"": ""purple"",
      ""object_type_matches"": null,
      ""color_matches"": false,
      ""matches_request"": false
    }
  ],
  ""matching_ids"": [49, 68, 72, 78]
}"
L4,b0_l4_random_45_60_10,Q1_5_COLOR_ONLY_PRESENT,Bring me something blue.,28102,canonical_color_disagreement,[54],"[12, 54]",[],[12],"{""object_type"": null, ""color"": ""blue""}",False,True,True,"{
  ""request_constraints"": {
    ""object_type"": null,
    ""color"": ""blue""
  },
  ""instances"": [
    {
      ""id"": 12,
      ""object_type"": ""bottle"",
      ""color"": ""blue"",
      ""object_type_matches"": null,
      ""color_matches"": true,
      ""matches_request"": true
    },
    {
      ""id"": 23,
      ""object_type"": ""can"",
      ""color"": ""yellow"",
      ""object_type_matches"": null,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 41,
      ""object_type"": ""can"",
      ""color"": ""brown"",
      ""object_type_matches"": null,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 54,
      ""object_type"": ""bottle"",
      ""color"": ""blue"",
      ""object_type_matches"": null,
      ""color_matches"": true,
      ""matches_request"": true
    },
    {
      ""id"": 57,
      ""object_type"": ""bottle"",
      ""color"": ""yellow"",
      ""object_type_matches"": null,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 68,
      ""object_type"": ""cup"",
      ""color"": ""yellow"",
      ""object_type_matches"": null,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 88,
      ""object_type"": ""cup"",
      ""color"": ""brown"",
      ""object_type_matches"": null,
      ""color_matches"": false,
      ""matches_request"": false
    },
    {
      ""id"": 99,
      ""object_type"": ""cup"",
      ""color"": ""black"",
      ""object_type_matches"": null,
      ""color_matches"": false,
      ""matches_request"": false
    }
  ],
  ""matching_ids"": [12, 54]
}"
